id,name,topic,country,country_name,url,description,provider,formats,size,records,license,license_url,access,commercial_use,cite,path
census-geocoder,Census Geocoder,addresses-and-geocoding,us,United States,https://geocoding.geo.census.gov/geocoder/,"A free official geocoding service returning coordinates plus census tract, block and congressional district for any US address, in single or batch mode.",US Census Bureau,REST API; CSV,API,National address coverage,US Government public domain,https://www.census.gov/about/policies/open-gov.html,open,yes,US Census Bureau Geocoding Services,topics/addresses-and-geocoding/us/dataset-01.json
national-address-database,National Address Database,addresses-and-geocoding,us,United States,https://www.transportation.gov/gis/national-address-database,"A federal aggregation of state and local authoritative address points with coordinates, address components and jurisdiction identifiers.",US Department of Transportation,CSV; Geodatabase; Shapefile,~10 GB,80 million+ address points,US Government public domain and contributing agency terms,https://www.transportation.gov/gis/national-address-database,open,yes,"US DOT, National Address Database",topics/addresses-and-geocoding/us/dataset-02.json
usgs-national-map,USGS National Map,addresses-and-geocoding,us,United States,https://www.usgs.gov/programs/national-geospatial-program/national-map,"Authoritative national geospatial layers covering elevation, hydrography, transportation, boundaries, structures and land cover.",US Geological Survey,GeoTIFF; Shapefile; GeoPackage; REST API,Petabyte-scale,National coverage across 8 data themes,US Government public domain,https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,open,yes,"US Geological Survey, The National Map",topics/addresses-and-geocoding/us/dataset-03.json
geonames,GeoNames,addresses-and-geocoding,us,United States,https://www.geonames.org/,"A global gazetteer of place names with coordinates, population, elevation, feature class, alternate names and administrative hierarchy, free to download in full.",GeoNames,TXT; ZIP; REST API,~2 GB,12 million+ place names worldwide,CC BY 4.0,https://www.geonames.org/about.html,open,yes,GeoNames geographical database,topics/addresses-and-geocoding/us/dataset-04.json
overture-maps-foundation-data,Overture Maps Foundation Data,addresses-and-geocoding,us,United States,https://overturemaps.org/,"Open map data releases covering places, buildings, transportation, addresses and administrative divisions, published as cloud-native GeoParquet.",Overture Maps Foundation,GeoParquet; PMTiles,~500 GB,Billions of features worldwide,CDLA Permissive 2.0 and ODbL depending on theme,https://docs.overturemaps.org/attribution/,open,yes,Overture Maps Foundation,topics/addresses-and-geocoding/us/dataset-05.json
ibge-agricultural-production-statistics,IBGE Agricultural Production Statistics,agriculture-and-crops,br,Brazil,https://www.ibge.gov.br/estatisticas/economicas/agricultura-e-pecuaria.html,"Official Brazilian crop and livestock statistics covering planted area, production, yield and value by municipality and crop.",Instituto Brasileiro de Geografia e Estatística,XLSX; CSV; REST API,Multi-GB,"5,570 municipalities, annual and monthly series",Free use with attribution to IBGE,https://www.ibge.gov.br/acesso-informacao/institucional/copyright.html,open,yes,"IBGE, Produção Agrícola Municipal",topics/agriculture-and-crops/br/dataset-01.json
conab-crop-monitoring,CONAB Crop Monitoring,agriculture-and-crops,br,Brazil,https://www.conab.gov.br/info-agro/safras,"Monthly national crop surveys with area, productivity and production forecasts for soybeans, maize, cotton, rice and other major Brazilian crops.",Companhia Nacional de Abastecimento,XLSX; PDF; CSV,~1 GB,Monthly surveys by state and crop since 1976,Free use with attribution,https://www.conab.gov.br/,open,yes,"CONAB, Acompanhamento da Safra Brasileira",topics/agriculture-and-crops/br/dataset-02.json
embrapa-agricultural-research-data,Embrapa Agricultural Research Data,agriculture-and-crops,br,Brazil,https://www.embrapa.br/,"Agricultural research datasets covering soils, climate zoning, crop trials, satellite land use monitoring and livestock productivity.",Empresa Brasileira de Pesquisa Agropecuária,CSV; Shapefile; GeoTIFF; PDF,Multi-TB,Hundreds of research datasets and geospatial layers,Varies by dataset; many CC BY,https://www.embrapa.br/,open,check,"Embrapa, Empresa Brasileira de Pesquisa Agropecuária",topics/agriculture-and-crops/br/dataset-03.json
mapbiomas,MapBiomas,agriculture-and-crops,br,Brazil,https://brasil.mapbiomas.org/,"Annual 30-metre land cover and land use maps for Brazil from 1985 onward, with deforestation, pasture, agriculture and water surface classifications.",MapBiomas initiative,GeoTIFF; Google Earth Engine; CSV,~5 TB,Annual national coverage since 1985,CC BY-SA 4.0,https://brasil.mapbiomas.org/,open,yes,"MapBiomas Project, Annual Land Use and Land Cover Maps of Brazil",topics/agriculture-and-crops/br/dataset-04.json
inpe-prodes-and-deter-deforestation-data,INPE PRODES and DETER Deforestation Data,agriculture-and-crops,br,Brazil,https://terrabrasilis.dpi.inpe.br/,"Official satellite monitoring of Amazon and Cerrado deforestation, with annual clear-cut polygons and near-real-time alerts.",Instituto Nacional de Pesquisas Espaciais,Shapefile; GeoJSON; WFS; REST API,~50 GB,Annual deforestation polygons since 1988,Free use with attribution to INPE,https://terrabrasilis.dpi.inpe.br/,open,yes,"INPE, TerraBrasilis PRODES and DETER",topics/agriculture-and-crops/br/dataset-05.json
agmarknet-commodity-prices,Agmarknet Commodity Prices,agriculture-and-crops,in,India,https://agmarknet.gov.in/,"Daily arrival volumes and minimum, maximum and modal prices for hundreds of commodities across thousands of regulated agricultural markets.","Directorate of Marketing and Inspection, Ministry of Agriculture",CSV; Web; REST API,Multi-GB archive,"3,000+ markets, daily since 2001",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"Agmarknet, Directorate of Marketing and Inspection",topics/agriculture-and-crops/in/dataset-01.json
data-gov-in-agriculture-sector,data.gov.in Agriculture Sector,agriculture-and-crops,in,India,https://www.data.gov.in/sector/agriculture,"Open government catalogue of agriculture datasets covering crop-wise area, production and yield by district, fertiliser use, irrigation and horticulture.",National Informatics Centre,CSV; XLSX; JSON; REST API,Varies by resource,"10,000+ agriculture resources",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,Open Government Data Platform India,topics/agriculture-and-crops/in/dataset-02.json
ministry-of-agriculture-agricultural-statistics-at-a-glance,Ministry of Agriculture Agricultural Statistics at a Glance,agriculture-and-crops,in,India,https://agriwelfare.gov.in/en/Agricultural_Statistics_at_a_Glance,"The annual national compendium of crop area, production, yield, prices, credit, machinery and land holdings by state and crop.",Ministry of Agriculture and Farmers Welfare,PDF; XLSX,~100 MB per edition,Annual editions with long historical series,Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"Ministry of Agriculture and Farmers Welfare, Agricultural Statistics at a Glance",topics/agriculture-and-crops/in/dataset-03.json
upag-unified-portal-for-agricultural-statistics,UPAg Unified Portal for Agricultural Statistics,agriculture-and-crops,in,India,https://upag.gov.in/,"India's unified agricultural statistics portal consolidating crop area, production, yield, price, procurement and stock data from multiple ministries into one analytical interface.",Ministry of Agriculture and Farmers Welfare,CSV; XLSX; Web dashboard,Varies by report,Crop-wise series across states and seasons,Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"UPAg Portal, Ministry of Agriculture and Farmers Welfare, Government of India",topics/agriculture-and-crops/in/dataset-04.json
faostat-india,FAOSTAT India,agriculture-and-crops,in,India,https://www.fao.org/faostat/en/,"Harmonised international agricultural statistics covering production, trade, food balance sheets, land use, emissions and prices for India and 245 other territories.",Food and Agriculture Organization of the United Nations,CSV; REST API; ZIP,~20 GB,"245 territories, 1961 onward",CC BY 4.0,https://www.fao.org/contact-us/terms/en/,open,yes,"FAOSTAT, Food and Agriculture Organization of the United Nations",topics/agriculture-and-crops/in/dataset-05.json
usda-nass-quick-stats,USDA NASS Quick Stats,agriculture-and-crops,us,United States,https://quickstats.nass.usda.gov/,"The full agricultural census and survey database with crop and livestock production, acreage, yield, price and farm economics down to county level.",USDA National Agricultural Statistics Service,CSV; REST API,~40 GB,70 million+ observations since 1866,US Government public domain,https://www.nass.usda.gov/,registration,yes,"USDA National Agricultural Statistics Service, Quick Stats",topics/agriculture-and-crops/us/dataset-01.json
usda-cropland-data-layer,USDA Cropland Data Layer,agriculture-and-crops,us,United States,https://www.nass.usda.gov/Research_and_Science/Cropland/SARS1a.php,"Annual 30-metre raster classification of crop type across the continental United States, derived from satellite imagery and ground truth.",USDA National Agricultural Statistics Service,GeoTIFF; Web service,~10 GB per year,Continental US coverage from 1997,US Government public domain,https://www.nass.usda.gov/,open,yes,USDA NASS Cropland Data Layer,topics/agriculture-and-crops/us/dataset-02.json
usda-economic-research-service-data-products,USDA Economic Research Service Data Products,agriculture-and-crops,us,United States,https://www.ers.usda.gov/data-products,"Curated economic datasets covering farm income, food prices, food security, rural demographics, commodity outlook and international agricultural trade.",USDA Economic Research Service,CSV; XLSX; REST API,Multi-GB,200+ data products,US Government public domain,https://www.ers.usda.gov/,open,yes,USDA Economic Research Service Data Products,topics/agriculture-and-crops/us/dataset-03.json
census-of-agriculture,Census of Agriculture,agriculture-and-crops,us,United States,https://www.nass.usda.gov/AgCensus/,"The quinquennial census of every US farm operation, reporting land use, production, sales, expenses, machinery, operator demographics and practices.",USDA National Agricultural Statistics Service,CSV; PDF; REST API,~5 GB,1.9 million farms enumerated,US Government public domain,https://www.nass.usda.gov/,open,yes,USDA Census of Agriculture,topics/agriculture-and-crops/us/dataset-04.json
usda-risk-management-agency-crop-insurance-data,USDA Risk Management Agency Crop Insurance Data,agriculture-and-crops,us,United States,https://www.rma.usda.gov/tools-reports/summary-business,"Summary of business files reporting insured acres, liability, premium, subsidy and indemnity payments by county, crop, practice and cause of loss.",USDA Risk Management Agency,TXT; CSV; ZIP,~10 GB,County-crop records since 1989,US Government public domain,https://www.rma.usda.gov/,open,yes,"USDA Risk Management Agency, Summary of Business",topics/agriculture-and-crops/us/dataset-05.json
eea-air-quality-data,EEA Air Quality Data,air-quality-and-pollution,eu,European Union,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,"Validated hourly and annual pollutant measurements reported by every EEA member country under the Air Quality Directive, with station metadata and exceedance statistics.",European Environment Agency,CSV; Parquet; REST API,~200 GB,"Billions of measurements from 5,000+ stations","EEA open data policy, free reuse with attribution",https://www.eea.europa.eu/en/legal-notice,open,yes,"European Environment Agency, Air Quality e-Reporting",topics/air-quality-and-pollution/eu/dataset-01.json
copernicus-atmosphere-monitoring-service,Copernicus Atmosphere Monitoring Service,air-quality-and-pollution,eu,European Union,https://atmosphere.copernicus.eu/,"Global and European reanalysis and forecasts of atmospheric composition covering ozone, aerosols, greenhouse gases, pollen and UV index.",ECMWF and Copernicus,NetCDF; GRIB; Python API,Petabyte-scale,"Global coverage, hourly forecasts and reanalysis from 2003","Copernicus licence, free reuse with attribution",https://atmosphere.copernicus.eu/,registration,yes,"Copernicus Atmosphere Monitoring Service (CAMS), ECMWF",topics/air-quality-and-pollution/eu/dataset-02.json
edgar-emissions-database,EDGAR Emissions Database,air-quality-and-pollution,eu,European Union,https://edgar.jrc.ec.europa.eu/,"Gridded global inventory of greenhouse gas and air pollutant emissions by country, sector and year, independent of national reporting.",European Commission Joint Research Centre,CSV; NetCDF; XLSX,~50 GB,Global grids and country series from 1970,CC BY 4.0,https://edgar.jrc.ec.europa.eu/,open,yes,"Crippa et al., EDGAR Emissions Database for Global Atmospheric Research, European Commission JRC",topics/air-quality-and-pollution/eu/dataset-03.json
eea-industrial-emissions-portal,EEA Industrial Emissions Portal,air-quality-and-pollution,eu,European Union,https://industry.eea.europa.eu/,"Facility-level pollutant releases and transfers reported by large European industrial installations, with permit, sector and location detail.",European Environment Agency,CSV; REST API,~10 GB,"60,000+ industrial facilities","EEA open data policy, free reuse with attribution",https://www.eea.europa.eu/en/legal-notice,open,yes,"European Environment Agency, Industrial Emissions Portal",topics/air-quality-and-pollution/eu/dataset-04.json
eurostat-environment-database,Eurostat Environment Database,air-quality-and-pollution,eu,European Union,https://ec.europa.eu/eurostat/web/environment/database,"Harmonised European environmental accounts covering air emissions by economic activity, waste, water use, and environmental taxes.",Eurostat,TSV; SDMX; REST API,~5 GB,Annual series for all EU member states,"Eurostat reuse policy, free with attribution",https://ec.europa.eu/eurostat/web/main/help/copyright-notice,open,yes,"Eurostat, environment statistics database",topics/air-quality-and-pollution/eu/dataset-05.json
cpcb-central-control-room-for-air-quality,CPCB Central Control Room for Air Quality,air-quality-and-pollution,in,India,https://airquality.cpcb.gov.in/ccr/,"Live and historical readings from India's continuous ambient air quality monitoring network, reporting PM2.5, PM10, NO2, SO2, CO and ozone per station.",Central Pollution Control Board,CSV; Web dashboard,Varies by query,500+ monitoring stations across 250+ cities,Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,"Central Pollution Control Board, Central Control Room for Air Quality Management",topics/air-quality-and-pollution/in/dataset-01.json
openaq-india,OpenAQ India,air-quality-and-pollution,in,India,https://openaq.org/,"Aggregated and normalised air quality measurements from government and research monitors worldwide, with India among the best-covered countries, exposed through an open API.",OpenAQ,REST API; CSV; Parquet,Multi-TB archive on S3,2 billion+ measurements globally,CC BY 4.0,https://docs.openaq.org/,registration,yes,"OpenAQ, https://openaq.org/",topics/air-quality-and-pollution/in/dataset-02.json
data-gov-in-environment-sector,data.gov.in Environment Sector,air-quality-and-pollution,in,India,https://www.data.gov.in/sector/environment-and-forest,"Open government catalogue of environmental datasets covering ambient air quality by city and year, forest cover, water quality and pollution complaints.",National Informatics Centre,CSV; XLSX; JSON; REST API,Varies by resource,"2,000+ environment resources",Government Open Data License - India,https://www.data.gov.in/government-open-data-license-india,open,yes,Open Government Data Platform India,topics/air-quality-and-pollution/in/dataset-03.json
nasa-earthdata-air-quality,NASA Earthdata Air Quality,air-quality-and-pollution,in,India,https://www.earthdata.nasa.gov/topics/atmosphere/air-quality,"Satellite-derived aerosol optical depth, NO2 and particulate estimates with global coverage, widely used to fill gaps where ground monitors are sparse.",NASA,HDF; NetCDF; GeoTIFF; REST API,TB-scale,Daily global coverage since 2000,"NASA open data policy, free and open",https://www.earthdata.nasa.gov/engage/open-data-services-software-policies,registration,yes,NASA Earthdata,topics/air-quality-and-pollution/in/dataset-04.json
system-of-air-quality-and-weather-forecasting-safar,System of Air Quality and Weather Forecasting (SAFAR),air-quality-and-pollution,in,India,https://www.tropmet.res.in/,"Research-grade air quality and weather forecasting outputs for major Indian metros, produced by the Indian Institute of Tropical Meteorology.",Indian Institute of Tropical Meteorology,CSV; PDF; Web dashboard,Varies by product,Multi-city forecast and observation series,Research use; attribution requested,https://www.tropmet.res.in/,open,check,"Indian Institute of Tropical Meteorology, SAFAR",topics/air-quality-and-pollution/in/dataset-05.json
epa-air-quality-system-aqs,EPA Air Quality System (AQS),air-quality-and-pollution,us,United States,https://www.epa.gov/aqs,"The federal repository of ambient air monitoring data, holding validated hourly, daily and annual pollutant measurements from thousands of state and local monitors.",US Environmental Protection Agency,CSV; REST API,~50 GB,Billions of measurements since 1957,US Government public domain,https://www.epa.gov/,registration,yes,"US EPA, Air Quality System",topics/air-quality-and-pollution/us/dataset-01.json
airnow-api,AirNow API,air-quality-and-pollution,us,United States,https://docs.airnowapi.org/,"Real-time and forecast Air Quality Index observations by ZIP code, city or bounding box, the feed behind most US air quality apps.",US EPA and partner agencies,REST API; JSON; CSV,API,"2,000+ reporting stations",US Government public domain; API key required,https://docs.airnowapi.org/faq,registration,yes,"AirNow, US EPA",topics/air-quality-and-pollution/us/dataset-02.json
epa-national-emissions-inventory,EPA National Emissions Inventory,air-quality-and-pollution,us,United States,https://www.epa.gov/air-emissions-inventories/national-emissions-inventory-nei,"Triennial bottom-up inventory of criteria and hazardous air pollutant emissions from point, mobile, area and biogenic sources, resolved to county and facility level.",US Environmental Protection Agency,CSV; Access DB,~10 GB,Millions of emission source records,US Government public domain,https://www.epa.gov/,open,yes,"US EPA, National Emissions Inventory",topics/air-quality-and-pollution/us/dataset-03.json
epa-envirofacts,EPA Envirofacts,air-quality-and-pollution,us,United States,https://enviro.epa.gov/,"Unified query and API layer over EPA's regulatory databases covering air permits, toxic releases, water discharges, hazardous waste and facility compliance.",US Environmental Protection Agency,REST API; CSV; JSON,Varies by system,Millions of regulated facility records,US Government public domain,https://www.epa.gov/,open,yes,US EPA Envirofacts,topics/air-quality-and-pollution/us/dataset-04.json
purpleair-real-time-data,PurpleAir Real-Time Data,air-quality-and-pollution,us,United States,https://api.purpleair.com/,"Readings from a global network of low-cost consumer PM sensors, giving far denser spatial coverage than regulatory monitors at lower accuracy.",PurpleAir,REST API; JSON; CSV,API,"30,000+ sensors worldwide",PurpleAir API terms; free tier for non-commercial use,https://www2.purpleair.com/policies/terms-of-service,registration,check,"PurpleAir, Inc.",topics/air-quality-and-pollution/us/dataset-05.json
abs-tourism-and-transport-statistics,ABS Tourism and Transport Statistics,aviation-and-flights,au,Australia,https://www.abs.gov.au/statistics/industry/tourism-and-transport,"Official Australian statistics on air and sea passenger movements, overseas arrivals and departures, and transport industry activity.",Australian Bureau of Statistics,XLSX; CSV; SDMX,~1 GB,Monthly arrival and departure series,CC BY 4.0,https://www.abs.gov.au/website-privacy-copyright-and-disclaimer,open,yes,"Australian Bureau of Statistics, Tourism and transport",topics/aviation-and-flights/au/dataset-01.json
bom-aviation-weather-services,BOM Aviation Weather Services,aviation-and-flights,au,Australia,https://www.bom.gov.au/aviation/,"Aerodrome forecasts, METARs, SIGMETs, wind and temperature charts and volcanic ash advisories for Australian airspace.",Bureau of Meteorology,TAF; METAR; PDF; Web,Continuous feeds,All Australian aerodromes and FIRs,CC BY 4.0,https://www.bom.gov.au/other/copyright.shtml,open,yes,"Australian Bureau of Meteorology, Aviation Weather Services",topics/aviation-and-flights/au/dataset-02.json
airservices-australia-data,Airservices Australia Data,aviation-and-flights,au,Australia,https://www.airservicesaustralia.com/,"Air traffic management data including movement counts by airport, noise monitoring, flight paths and aeronautical information publications.",Airservices Australia,CSV; PDF; Web,Multi-GB,Movement and noise series across major airports,CC BY 4.0 for most published data,https://www.airservicesaustralia.com/,open,check,Airservices Australia,topics/aviation-and-flights/au/dataset-03.json
data-gov-au-transport-datasets,data.gov.au Transport Datasets,aviation-and-flights,au,Australia,https://data.gov.au/,"Australia's federal open data catalogue, including BITRE aviation activity, airport movements and transport infrastructure datasets with a CKAN API.",Bureau of Infrastructure and Transport Research Economics,CSV; JSON; REST API,Varies by dataset,Hundreds of transport datasets,CC BY 4.0,https://data.gov.au/,open,yes,"data.gov.au, BITRE datasets",topics/aviation-and-flights/au/dataset-04.json
eurocontrol-aviation-data-for-research,EUROCONTROL Aviation Data for Research,aviation-and-flights,eu,European Union,https://www.eurocontrol.int/dashboard/rnd-data-archive,"Four-dimensional flight trajectories, flight plans and airport operational data for European airspace, released specifically for research use.",EUROCONTROL,CSV; ZIP,~100 GB,Millions of flights across sample months,"EUROCONTROL research data terms, free with registration",https://www.eurocontrol.int/dashboard/rnd-data-archive,registration,no,EUROCONTROL R&D Data Archive,topics/aviation-and-flights/eu/dataset-01.json
eurocontrol-aviation-intelligence-portal,EUROCONTROL Aviation Intelligence Portal,aviation-and-flights,eu,European Union,https://www.eurocontrol.int/our-data,"Pan-European air traffic statistics covering daily traffic counts, delays, punctuality, airport throughput and network performance.",EUROCONTROL,CSV; XLSX; Dashboard,Multi-GB,Daily series across European airports and states,"EUROCONTROL terms, free reuse with attribution",https://www.eurocontrol.int/our-data,open,check,EUROCONTROL Aviation Intelligence Unit,topics/aviation-and-flights/eu/dataset-02.json
eurostat-air-transport-statistics,Eurostat Air Transport Statistics,aviation-and-flights,eu,European Union,https://ec.europa.eu/eurostat/web/transport/database,"Harmonised European air transport statistics on passengers, freight and aircraft movements by airport, route pair and country.",Eurostat,TSV; SDMX; REST API,~5 GB,Monthly and annual series for all EU airports,"Eurostat reuse policy, free with attribution",https://ec.europa.eu/eurostat/web/main/help/copyright-notice,open,yes,"Eurostat, transport statistics database",topics/aviation-and-flights/eu/dataset-03.json
easa-safety-data-and-publications,EASA Safety Data and Publications,aviation-and-flights,eu,European Union,https://www.easa.europa.eu/en/domains/safety-management,"European aviation safety statistics, occurrence analysis, annual safety reviews and certification data for aircraft and operators.",European Union Aviation Safety Agency,PDF; XLSX; CSV,~1 GB,Annual safety datasets and occurrence summaries,"EASA reuse terms, free with attribution",https://www.easa.europa.eu/en,open,check,European Union Aviation Safety Agency,topics/aviation-and-flights/eu/dataset-04.json
opensky-network-european-coverage,OpenSky Network European Coverage,aviation-and-flights,eu,European Union,https://opensky-network.org/datasets/,"Curated public datasets derived from the OpenSky sensor network, including COVID-19 flight impact, aircraft database and state vector samples with dense European coverage.",OpenSky Network,CSV; Parquet; GZIP,~500 GB,Curated multi-year flight datasets,CC BY 4.0 for published datasets,https://opensky-network.org/about/terms-of-use,open,check,"Strohmeier et al. (2021), Crowdsourced Air Traffic Data from the OpenSky Network. Earth System Science Data",topics/aviation-and-flights/eu/dataset-05.json
bts-on-time-performance,BTS On-Time Performance,aviation-and-flights,us,United States,https://www.transtats.bts.gov/ontime/,"Every scheduled domestic flight by a reporting US carrier with departure and arrival delay, cancellation, diversion and delay-cause breakdown.",Bureau of Transportation Statistics,CSV; ZIP,~30 GB,200 million+ flights since 1987,US Government public domain,https://www.bts.gov/,open,yes,"Bureau of Transportation Statistics, Airline On-Time Performance Data",topics/aviation-and-flights/us/dataset-01.json
faa-aircraft-registry,FAA Aircraft Registry,aviation-and-flights,us,United States,https://www.faa.gov/licenses_certificates/aircraft_certification/aircraft_registry/releasable_aircraft_download,"The releasable database of every US-registered civil aircraft with N-number, serial, make, model, engine, owner and airworthiness status.",Federal Aviation Administration,CSV; ZIP,~200 MB,"300,000+ registered aircraft",US Government public domain,https://www.faa.gov/,open,yes,"FAA Aircraft Registry, Releasable Aircraft Database",topics/aviation-and-flights/us/dataset-02.json
faa-aviation-safety-information-analysis-and-sharing,FAA Aviation Safety Information Analysis and Sharing,aviation-and-flights,us,United States,https://www.asias.faa.gov/,"Aviation safety data covering accidents, incidents, runway incursions, near midair collisions and service difficulty reports.",Federal Aviation Administration,CSV; XLSX; Web query,Multi-GB,Decades of safety event records,US Government public domain,https://www.faa.gov/,open,yes,FAA Aviation Safety Information Analysis and Sharing (ASIAS),topics/aviation-and-flights/us/dataset-03.json
ntsb-aviation-accident-database,NTSB Aviation Accident Database,aviation-and-flights,us,United States,https://www.ntsb.gov/Pages/AviationQueryV2.aspx,"Investigated civil aviation accidents and incidents since 1962 with aircraft, operation type, injuries, weather, phase of flight and probable cause.",National Transportation Safety Board,CSV; JSON; XML; Access DB,~1 GB,"90,000+ investigated events",US Government public domain,https://www.ntsb.gov/,open,yes,"National Transportation Safety Board, Aviation Accident Database",topics/aviation-and-flights/us/dataset-04.json
opensky-network,OpenSky Network,aviation-and-flights,us,United States,https://opensky-network.org/,"Crowd-sourced ADS-B and Mode S air traffic surveillance data with raw and decoded state vectors, covering global flight trajectories at second-level resolution.",OpenSky Network,REST API; Impala; CSV; Parquet,Petabyte-scale,Trillions of state vectors since 2013,Free for non-commercial research; CC BY-SA for published datasets,https://opensky-network.org/about/terms-of-use,registration,no,"Schäfer et al. (2014), Bringing Up OpenSky. IPSN 2014",topics/aviation-and-flights/us/dataset-05.json
