id,name,topic,url,description,provider,formats,size,records,languages,license,license_url,access,commercial_use,cite
common-voice,Mozilla Common Voice,speech-audio,https://commonvoice.mozilla.org/en/datasets,"Crowd-donated and crowd-validated read speech released into the public domain, covering more than a hundred languages including many with little other ASR data.",Mozilla Foundation,MP3; TSV,Varies by language (tens of GB for English),"30,000+ validated hours across 130+ languages",130+ languages,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,registration,yes,"Ardila et al. (2020), Common Voice: A Massively-Multilingual Speech Corpus. LREC 2020"
librispeech,LibriSpeech,speech-audio,https://www.openslr.org/12,"Read English audiobook speech from LibriVox, force-aligned to its Project Gutenberg source text and split into clean and noisy subsets that define the standard ASR difficulty tiers.",Johns Hopkins University / OpenSLR,FLAC; TXT; TAR.GZ,~60 GB (all training subsets),"1,000 hours of 16 kHz speech",English,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,open,yes,"Panayotov et al. (2015), Librispeech: An ASR Corpus Based on Public Domain Audio Books. ICASSP 2015"
movielens-25m,MovieLens 25M,recommender-systems,https://grouplens.org/datasets/movielens/,"Star ratings and free-text tags collected from the MovieLens service over 24 years, the most widely used benchmark for collaborative filtering.","GroupLens Research, University of Minnesota",CSV; ZIP,~250 MB,"25,000,095 ratings from 162,541 users on 62,423 movies",,"GroupLens usage license: research use only, no redistribution, no commercial use without permission",https://files.grouplens.org/datasets/movielens/ml-25m-README.html,open,no,"Harper & Konstan (2015), The MovieLens Datasets: History and Context. ACM TiiS 5(4)"
amazon-reviews-2023,Amazon Reviews 2023,recommender-systems,https://amazon-reviews-2023.github.io/,"Product reviews spanning 1996 to 2023 with ratings, review text, images and rich item metadata, organised into 33 product categories for large-scale recommendation research.","McAuley Lab, UC San Diego",JSONL; Parquet,~200 GB,"571.54 million reviews, 48.19 million items",English,Research use; cite the source papers,https://amazon-reviews-2023.github.io/,open,no,"Hou et al. (2024), Bridging Language and Items for Retrieval and Recommendation. arXiv:2403.03952"
ms-marco,MS MARCO,search-ir,https://microsoft.github.io/msmarco/,"Real anonymised Bing queries paired with human-judged passages and documents, the dataset that made neural ranking models practical to train at scale.",Microsoft,TSV; JSON,~20 GB,"1,010,916 queries, 8.8 million passages",English,MS MARCO non-commercial research license,https://microsoft.github.io/msmarco/,open,no,"Bajaj et al. (2016), MS MARCO: A Human Generated MAchine Reading COmprehension Dataset. arXiv:1611.09268"
beir,BEIR,search-ir,https://github.com/beir-cellar/beir,"A heterogeneous zero-shot retrieval benchmark that wraps 18 existing IR datasets behind one loader and evaluation protocol, so a retriever can be scored across domains without per-dataset plumbing.","UKP Lab, TU Darmstadt",JSONL; TSV,~50 GB for all subsets,18 datasets across 9 retrieval tasks,English,Apache-2.0 (toolkit); each subset retains its own license,https://github.com/beir-cellar/beir/blob/main/LICENSE,open,check,"Thakur et al. (2021), BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models. NeurIPS 2021 Datasets and Benchmarks"
uci-ml-repo,UCI Machine Learning Repository,tabular-ml,https://archive.ics.uci.edu/,"The longest-running public collection of machine learning datasets, hosting the small tabular classics such as Iris, Adult, Wine Quality and Covertype behind a consistent Python API.","University of California, Irvine",CSV; ARFF; Python API,Mostly under 100 MB per dataset,670+ datasets,,CC BY 4.0 for most datasets; check per dataset,https://archive.ics.uci.edu/,open,check,"Kelly, Longjohn & Nottingham, The UCI Machine Learning Repository, https://archive.ics.uci.edu"
openml,OpenML,tabular-ml,https://www.openml.org/search?type=benchmark,"Datasets, tasks, flows and millions of recorded experiment runs behind one REST API, including the curated CC-18 and AutoML benchmark suites for reproducible model comparison.",OpenML Foundation,ARFF; Parquet; REST API,Varies by dataset,"5,000+ curated datasets, 100M+ recorded runs",,Varies per dataset; mostly CC BY or public domain,https://www.openml.org/terms,open,check,"Vanschoren et al. (2013), OpenML: Networked Science in Machine Learning. SIGKDD Explorations 15(2)"
m4,M4 Competition Dataset,time-series,https://github.com/Mcompetitions/M4-methods,"One hundred thousand real series at yearly through hourly frequencies drawn from demographics, finance, industry and macro sources, with held-out horizons and every competitor's submitted forecasts.",Makridakis Open Forecasting Center,CSV,~500 MB,"100,000 time series",,Open for research and benchmarking; see repository,https://github.com/Mcompetitions/M4-methods,open,check,"Makridakis, Spiliotis & Assimakopoulos (2020), The M4 Competition: 100,000 Time Series and 61 Forecasting Methods. International Journal of Forecasting 36(1)"
monash-tsf,Monash Time Series Forecasting Archive,time-series,https://forecastingdata.org/,"Thirty forecasting datasets normalised into a single .tsf format with baseline results for statistical and deep models, covering tourism, traffic, electricity, weather and web traffic.",Monash University,TSF; CSV; Zenodo archives,~10 GB,"30 datasets, 100,000+ series",,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,open,yes,"Godahewa et al. (2021), Monash Time Series Forecasting Archive. NeurIPS 2021 Datasets and Benchmarks"
creditcard-fraud,Credit Card Fraud Detection,fraud-anomaly,https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud,"Two days of European cardholder transactions with PCA-anonymised features and a 0.172% positive rate, the canonical teaching example for extreme class imbalance.","Machine Learning Group, ULB / Worldline",CSV,~150 MB,"284,807 transactions, 492 frauds",,Database Contents License (DbCL) v1.0,https://opendatacommons.org/licenses/dbcl/1-0/,registration,check,"Dal Pozzolo et al. (2015), Calibrating Probability with Undersampling for Unbalanced Classification. IEEE SSCI 2015"
ieee-cis-fraud,IEEE-CIS Fraud Detection,fraud-anomaly,https://www.kaggle.com/competitions/ieee-fraud-detection,"Real e-commerce transactions from Vesta with 400+ engineered features spanning device, card, address and identity signals, plus a separately joined identity table.",IEEE Computational Intelligence Society / Vesta Corporation,CSV,~1.2 GB,"590,540 training transactions",,Competition rules; non-commercial research use,https://www.kaggle.com/competitions/ieee-fraud-detection/rules,registration,no,"IEEE-CIS Fraud Detection, Kaggle (2019)"
snap,SNAP Large Network Dataset Collection,graphs-networks,https://snap.stanford.edu/data/,"Social, citation, collaboration, web, road and communication networks in a uniform edge-list format, ranging from thousands to billions of edges.",Stanford Network Analysis Project,Edge list; TXT.GZ,KB to hundreds of GB per network,100+ network datasets,,"BSD-3-Clause (library); datasets vary, cite the source paper",https://snap.stanford.edu/snap/license.html,open,check,"Leskovec & Krevl (2014), SNAP Datasets: Stanford Large Network Dataset Collection"
ogb,Open Graph Benchmark,graphs-networks,https://ogb.stanford.edu/,"Large realistic graph benchmarks for node, link and graph property prediction, shipping with standardised non-random splits and an automated evaluator to stop leaderboard drift.",Stanford University,Python package; NPZ; CSV,MB to ~100 GB (OGB-LSC),15+ datasets up to 100M+ nodes,,MIT (package); datasets carry individual licenses such as ODC-BY and CC BY,https://github.com/snap-stanford/ogb/blob/master/LICENSE,open,check,"Hu et al. (2020), Open Graph Benchmark: Datasets for Machine Learning on Graphs. NeurIPS 2020"
osm-planet,OpenStreetMap Planet,geospatial,https://planet.openstreetmap.org/,"The complete crowd-mapped world as a single weekly export of nodes, ways and relations, plus daily and minutely diffs for keeping a local mirror current.",OpenStreetMap Foundation,PBF; XML.BZ2,~80 GB (PBF),9 billion+ nodes,,ODbL 1.0 (share-alike; attribution required),https://www.openstreetmap.org/copyright,open,yes,"OpenStreetMap contributors, https://www.openstreetmap.org/copyright"
natural-earth,Natural Earth,geospatial,https://www.naturalearthdata.com/downloads/,"Public-domain vector and raster base maps at three cartographic scales, with boundaries, coastlines, rivers, cities and shaded relief built to line up cleanly across layers.",Natural Earth / NACIS,Shapefile; GeoPackage; GeoTIFF,~1 GB for the full set,"Vector and raster layers at 1:10m, 1:50m and 1:110m",,Public domain,https://www.naturalearthdata.com/about/terms-of-use/,open,yes,"Made with Natural Earth, https://www.naturalearthdata.com/"
fred,FRED (Federal Reserve Economic Data),finance-economics,https://fred.stlouisfed.org/,"Macroeconomic time series aggregated from more than a hundred official sources, covering rates, employment, prices and output, with a well-documented REST API and vintage-aware ALFRED archive.",Federal Reserve Bank of St. Louis,CSV; XLS; REST API,Varies by series,"800,000+ time series",,FRED Terms of Use; many series carry upstream copyright restrictions,https://fred.stlouisfed.org/legal/,open,check,"Federal Reserve Bank of St. Louis, FRED, https://fred.stlouisfed.org/"
world-bank-open-data,World Bank Open Data,finance-economics,https://data.worldbank.org/,"Development indicators for every country from 1960 onward, covering GDP, population, health, education, energy and trade, all available in bulk and through a free API.",The World Bank,CSV; XML; REST API,~200 MB for the full WDI archive,"1,400+ indicators, 217 economies",,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses,open,yes,"World Bank Open Data, https://data.worldbank.org/"
online-retail-ii,Online Retail II,ecommerce-retail,https://archive.ics.uci.edu/dataset/502/online+retail+ii,"Every transaction of a UK online gift retailer over two years, with invoice, product, quantity, price, customer and country columns, widely used for RFM segmentation and basket analysis.",UCI Machine Learning Repository,XLSX; CSV,~45 MB,"1,067,371 transactions (Dec 2009 - Dec 2011)",,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,open,yes,"Chen, D. (2019), Online Retail II. UCI Machine Learning Repository"
instacart,Instacart Market Basket Analysis,ecommerce-retail,https://www.kaggle.com/c/instacart-market-basket-analysis,"Anonymised grocery orders with per-order product sequences, reorder flags, aisle and department taxonomies, and day-of-week and hour-of-day signals for next-basket prediction.",Instacart,CSV,~700 MB,"3.4 million orders from 200,000+ users",,Instacart Data Sharing Agreement; non-commercial use,https://www.kaggle.com/c/instacart-market-basket-analysis/rules,registration,no,"The Instacart Online Grocery Shopping Dataset 2017, accessed via Kaggle"
nyc-tlc,NYC TLC Trip Record Data,transportation-mobility,https://www.nyc.gov/site/tlc/about/tlc-trip-record-data.page,"Every yellow taxi, green taxi, for-hire and high-volume for-hire trip in New York City since 2009, with pickup and dropoff timestamps, zones, distances and fare breakdowns.",NYC Taxi and Limousine Commission,Parquet,~50 GB for the full history,Billions of trips since 2009,,NYC Open Data Terms of Use,https://www.nyc.gov/home/terms-of-use.page,open,yes,"NYC Taxi and Limousine Commission, TLC Trip Record Data"
mobility-database,Mobility Database,transportation-mobility,https://mobilitydatabase.org/,"A catalogue of public transit feeds worldwide in GTFS and GTFS-Realtime, with a stable API and validation reports so schedule and vehicle-position data can be pulled without hunting agency websites.",MobilityData,GTFS; GTFS-RT; REST API,Varies by feed,"2,000+ transit feeds worldwide",,Catalogue CC0; individual feeds carry their agency licenses,https://mobilitydatabase.org/terms-and-conditions,registration,check,"MobilityData, Mobility Database, https://mobilitydatabase.org/"
